GeneID	Symbol	Synonyms	description	type_of_gene
113524098	gjc2	cx47.1	gap junction protein gamma 2	protein-coding
113524099	rev1	-	REV1 DNA directed polymerase	protein-coding
113524100	myl13	-	myosin, light chain 13	protein-coding
113524101	LOC113524101	-	uncharacterized LOC113524101	protein-coding
113524102	pth1r	-	parathyroid hormone 1 receptor	protein-coding
113524104	LOC113524104	-	C-C motif chemokine 3-like	protein-coding
113524106	rock1	-	Rho-associated, coiled-coil containing protein kinase 1	protein-coding
113524107	usp14	-	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	protein-coding
113524108	thoc1	-	THO complex 1	protein-coding
113524109	ccdc13	-	coiled-coil domain containing 13	protein-coding
113524110	wnt3a	-	wingless-type MMTV integration site family, member 3A	protein-coding
113524111	LOC113524111	-	UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter	protein-coding
113524112	LOC113524112	-	zinc finger protein 850-like	protein-coding
113524113	LOC113524113	-	zinc finger protein 420-like	protein-coding
113524114	LOC113524114	-	zinc finger protein 850-like	pseudo
113524115	txndc9	-	thioredoxin domain containing 9	protein-coding
113524116	LOC113524116	-	C-C motif chemokine 3-like	protein-coding
113524117	LOC113524117	-	zinc finger protein OZF-like	protein-coding
113524118	LOC113524118	-	C-C motif chemokine 4-like	protein-coding
113524121	higd1a	-	HIG1 hypoxia inducible domain family, member 1A	protein-coding
113524122	LOC113524122	-	uncharacterized LOC113524122	protein-coding
113524123	arf1	-	ADP-ribosylation factor 1	protein-coding
113524124	LOC113524124	-	5-beta-cholestane-3-alpha,7-alpha-diol 12-alpha-hydroxylase-like	protein-coding
113524125	LOC113524125	-	5-beta-cholestane-3-alpha,7-alpha-diol 12-alpha-hydroxylase	protein-coding
113524126	LOC113524126	-	5-beta-cholestane-3-alpha,7-alpha-diol 12-alpha-hydroxylase-like	protein-coding
113524127	mier1b	-	mesoderm induction early response 1b, transcriptional regulator	protein-coding
113524128	LOC113524128	-	atypical chemokine receptor 2	protein-coding
113524129	c4h1orf35	cunh1orf35	chromosome 4 C1orf35 homolog	protein-coding
113524130	guk1a	guk1	guanylate kinase 1a	protein-coding
113524131	mrpl30	-	mitochondrial ribosomal protein L30	protein-coding
113524132	LOC113524132	-	uncharacterized LOC113524132	protein-coding
113524133	wnt9a	-	wingless-type MMTV integration site family, member 9A	protein-coding
113524134	ipp	-	intracisternal A particle-promoted polypeptide	protein-coding
113524135	iba57	-	iron-sulfur cluster assembly factor IBA57	protein-coding
113524136	jmjd4	-	jumonji domain containing 4	protein-coding
113524137	LOC113524137	-	plasminogen activator inhibitor 1 RNA-binding protein	protein-coding
113524138	LOC113524138	-	aquaporin-1	protein-coding
113524139	tmie	-	transmembrane inner ear	protein-coding
113524141	LOC113524141	-	uncharacterized LOC113524141	ncRNA
113524142	snap47	-	synaptosome associated protein 47	protein-coding
113524143	crhr2	-	corticotropin releasing hormone receptor 2	protein-coding
113524145	trnav-cac	-	transfer RNA valine (anticodon CAC)	tRNA
113524146	si:ch211-266i6.3	-	cytoskeleton-associated protein 2	protein-coding
113524147	LOC113524147	-	protocadherin gamma-A8-like	protein-coding
113524148	si:dkey-250d21.1	-	uncharacterized si:dkey-250d21.1	protein-coding
113524149	LOC113524149	parp4	poly (ADP-ribose) polymerase family, member 4	protein-coding
113524150	LOC113524150	-	myosin regulatory light chain 2B, cardiac muscle isoform	protein-coding
113524151	gigyf1b	-	GRB10 interacting GYF protein 1b	protein-coding
113524152	efnb3a	-	ephrin-B3a	protein-coding
113524154	LOC113524154	-	protocadherin gamma-A10	protein-coding
113524155	tlx3b	-	T cell leukemia homeobox 3b	protein-coding
113524156	prdm15	-	PR domain containing 15	protein-coding
113524157	LOC113524157	-	uncharacterized LOC113524157	protein-coding
113524158	nlgn2b	-	neuroligin 2b	protein-coding
113524159	cldn7b	cldn7	claudin 7b	protein-coding
113524160	LOC113524160	ponzr2	cornifelin homolog B	protein-coding
113524161	LOC113524161	-	placenta-specific gene 8 protein	protein-coding
113524163	LOC113524163	-	protocadherin alpha-C2-like	protein-coding
113524164	hrh2b	-	histamine receptor H2b	protein-coding
113524165	LOC113524165	-	protein mono-ADP-ribosyltransferase PARP14-like	protein-coding
113524166	fgf11b	-	fibroblast growth factor 11b	protein-coding
113524167	thap12a	-	THAP domain containing 12a	protein-coding
113524168	wnt11	-	wingless-type MMTV integration site family, member 11	protein-coding
113524169	mogat2	-	monoacylglycerol O-acyltransferase 2	protein-coding
113524170	ppm1e	-	protein phosphatase, Mg2+/Mn2+ dependent, 1E	protein-coding
113524171	trim37	-	tripartite motif containing 37	protein-coding
113524172	LOC113524172	cux1a	homeobox protein cut-like 1	protein-coding
113524173	tbl2	-	transducin beta like 2	protein-coding
113524174	LOC113524174	-	protein mono-ADP-ribosyltransferase PARP4	protein-coding
113524175	kctd7	-	potassium channel tetramerization domain containing 7	protein-coding
113524176	LOC113524176	dnajc30	dnaJ homolog subfamily C member 30, mitochondrial	protein-coding
113524177	rabgef1	-	RAB guanine nucleotide exchange factor (GEF) 1	protein-coding
113524179	foxo1b	-	forkhead box O1 b	protein-coding
113524180	pcolcea	-	procollagen C-endopeptidase enhancer a	protein-coding
113524181	dgkh	-	diacylglycerol kinase, eta	protein-coding
113524182	ap4m1	-	adaptor related protein complex 4 subunit mu 1	protein-coding
113524183	and3	-	actinodin3	protein-coding
113524184	vamp2	-	vesicle-associated membrane protein 2	protein-coding
113524185	kdm6bb	-	lysine (K)-specific demethylase 6B, b	protein-coding
113524186	lhfpl6	-	LHFPL tetraspan subfamily member 6	protein-coding
113524188	tmem88a	-	transmembrane protein 88 a	protein-coding
113524189	umodl1	-	uromodulin-like 1	protein-coding
113524190	bcl7ba	-	BAF chromatin remodeling complex subunit BCL7B a	protein-coding
113524191	LOC113524191	-	uncharacterized LOC113524191	ncRNA
113524192	rad51c	-	RAD51 paralog C	protein-coding
113524193	atg101	-	autophagy related 101	protein-coding
113524195	npm1a	-	nucleophosmin 1a	protein-coding
113524196	kcnip1b	-	Kv channel interacting protein 1 b	protein-coding
113524197	LOC113524197	-	uncharacterized LOC113524197	ncRNA
113524198	dgat2	-	diacylglycerol O-acyltransferase 2	protein-coding
113524199	map6a	-	microtubule-associated protein 6a	protein-coding
113524200	LOC113524200	-	complement C1q tumor necrosis factor-related protein 3	protein-coding
113524201	zbtb21	-	zinc finger and BTB domain containing 21	protein-coding
113524202	LOC113524202	-	U8 small nucleolar RNA	snoRNA
113524203	trnas-gcu	-	transfer RNA serine (anticodon GCU)	tRNA
113524204	trnat-agu	-	transfer RNA threonine (anticodon AGU)	tRNA
113524205	trnal-aag	-	transfer RNA leucine (anticodon AAG)	tRNA
113524206	trnal-uag	-	transfer RNA leucine (anticodon UAG)	tRNA
113524207	brwd3	-	bromodomain and WD repeat domain containing 3	protein-coding
113524208	tbx5b	-	T-box transcription factor 5b	protein-coding
113524209	amer1	-	APC membrane recruitment protein 1	protein-coding
113524210	cfap73	-	cilia and flagella associated protein 73	protein-coding
113524211	LOC113524211	-	complement C1q-like protein 2	protein-coding
113524212	LOC113524212	-	complement C1q-like protein 2	protein-coding
113524213	eda2r	-	ectodysplasin A2 receptor	protein-coding
113524214	LOC113524214	-	gastrula zinc finger protein XlCGF49.1-like	protein-coding
113524215	zc3h12b	-	zinc finger CCCH-type containing 12B	protein-coding
113524216	agtr2	-	angiotensin II receptor, type 2	protein-coding
113524217	sh2d1aa	-	SH2 domain containing 1A duplicate a	protein-coding
113524218	LOC113524218	-	uncharacterized LOC113524218	protein-coding
113524219	cnga2b	-	cyclic nucleotide gated channel subunit alpha 2b	protein-coding
113524220	uprt	-	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)	protein-coding
113524221	drc10	iqcd	dynein regulatory complex subunit 10	protein-coding
113524222	tenm1	-	teneurin transmembrane protein 1	protein-coding
113524224	smarca1	-	SNF2 related chromatin remodeling ATPase 1	protein-coding
113524225	shisa2a	-	shisa family member 2a	protein-coding
113524226	atp1a1b	-	ATPase Na+/K+ transporting subunit alpha 1b	protein-coding
113524227	las1l	-	LAS1 like ribosome biogenesis factor	protein-coding
113524228	msna	msn	moesin a	protein-coding
113524229	rxfp2l	-	relaxin family peptide receptor 2, like	protein-coding
113524230	stard8	-	StAR-related lipid transfer (START) domain containing 8	protein-coding
113524231	ophn1	-	oligophrenin 1	protein-coding
113524232	ar	-	androgen receptor	protein-coding
113524233	gpr83	-	G protein-coupled receptor 83	protein-coding
113524235	LOC113524235	-	transcriptional regulator ATRX	protein-coding
113524236	gab3	-	GRB2 associated binding protein 3	protein-coding
113524237	mycbp2	-	MYC binding protein 2	protein-coding
113524239	LOC113524239	-	serine/threonine-protein kinase/endoribonuclease IRE1	protein-coding
113524241	zc4h2	-	zinc finger, C4H2 domain containing	protein-coding
113524242	arhgap20b	-	Rho GTPase activating protein 20b	protein-coding
113524243	fdx1b	-	ferredoxin 1b	protein-coding
113524245	prps1a	-	phosphoribosyl pyrophosphate synthetase 1A	protein-coding
113524246	mtmr8	-	myotubularin related protein 8	protein-coding
113524247	LOC113524247	-	complement C1q-like protein 2	protein-coding
113524248	chmp1b	-	charged multivesicular body protein 1B	protein-coding
113524249	arhgef9a	arhgef9	Cdc42 guanine nucleotide exchange factor (GEF) 9a	protein-coding
113524251	nexmifa	-	neurite extension and migration factor a	protein-coding
113524252	mfsd6a	-	major facilitator superfamily domain containing 6a	protein-coding
113524253	si:ch211-246m6.4	-	transcription factor 15	protein-coding
113524254	sgsh	-	N-sulfoglucosamine sulfohydrolase (sulfamidase)	protein-coding
113524255	LOC113524255	-	uncharacterized protein DDB_G0290685-like	protein-coding
113524256	krt222	-	keratin 222	protein-coding
113524257	mid1ip1b	-	MID1 interacting protein 1b	protein-coding
113524258	LOC113524258	-	amine sulfotransferase	protein-coding
113524259	npb	-	neuropeptide B	protein-coding
113524260	LOC113524260	-	uncharacterized LOC113524260	ncRNA
113524261	tmem178a	tmem178	transmembrane protein 178a	protein-coding
113524262	cnot9	-	CCR4-NOT transcription complex subunit 9	protein-coding
113524263	LOC113524263	-	uncharacterized LOC113524263	protein-coding
113524264	LOC113524264	-	uncharacterized LOC113524264	ncRNA
113524265	slc8a1a	-	solute carrier family 8 member 1a	protein-coding
113524266	pgap4	tmem246	post-GPI attachment to proteins GalNAc transferase 4	protein-coding
113524267	LOC113524267	-	myelin and lymphocyte protein	protein-coding
113524268	tpcn3	-	two pore segment channel 3	protein-coding
113524269	elfn2a	-	extracellular leucine-rich repeat and fibronectin type III domain containing 2a	protein-coding
113524270	pecr	-	peroxisomal trans-2-enoyl-CoA reductase	protein-coding
113524272	man2b1	-	mannosidase, alpha, class 2B, member 1	protein-coding
113524273	mfng	-	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding
113524274	LOC113524274	-	low-density lipoprotein receptor-related protein 1B	protein-coding
113524275	LOC113524275	si:ch211-246m6.5	von Willebrand factor D and EGF domain-containing protein	protein-coding
113524277	aox6	-	aldehyde oxidase 6	protein-coding
113524278	s100b	-	S100 calcium binding protein, beta (neural)	protein-coding
113524279	cntnap5b	-	contactin associated protein family member 5b	protein-coding
113524281	LOC113524281	-	leucine-rich repeat-containing protein 3	protein-coding
113524282	stat1a	-	signal transducer and activator of transcription 1a	protein-coding
113524283	ftcd	-	formimidoyltransferase cyclodeaminase	protein-coding
113524284	plcd4a	-	phospholipase C, delta 4a	protein-coding
113524285	adarb1a	adarb1	adenosine deaminase RNA specific B1a	protein-coding
113524286	cep70	-	centrosomal protein 70	protein-coding
113524287	gnav1	-	guanine nucleotide binding protein (G protein) alpha v1	protein-coding
113524288	slc26a11	-	solute carrier family 26 member 11	protein-coding
113524289	tspan7	tspan7b	tetraspanin 7	protein-coding
113524290	bcor	-	BCL6 corepressor	protein-coding
113524292	sh3bp4a	-	SH3-domain binding protein 4a	protein-coding
113524293	LOC113524293	-	ADP-ribosylation factor-like protein 4C	protein-coding
113524294	dpp4	-	dipeptidyl-peptidase 4	protein-coding
113524295	mettl21a	-	methyltransferase 21A, HSPA lysine	protein-coding
113524296	krt97	-	keratin 97	protein-coding
113524297	slx9	fam207a	SLX9 ribosome biogenesis factor	protein-coding
113524298	LOC113524298	-	NACHT, LRR and PYD domains-containing protein 12-like	protein-coding
113524299	pcyt2	-	phosphate cytidylyltransferase 2, ethanolamine	protein-coding
113524300	gcga	-	glucagon a	protein-coding
113524301	glsa	-	glutaminase a	protein-coding
113524302	LOC113524302	-	uncharacterized LOC113524302	protein-coding
113524303	mstna	-	myostatin a	protein-coding
113524304	aacs	-	acetoacetyl-CoA synthetase	protein-coding
113524307	ahr2	-	aryl hydrocarbon receptor 2	protein-coding
113524308	ahr1b	-	aryl hydrocarbon receptor 1b	protein-coding
113524309	LOC113524309	-	CD276 antigen homolog	protein-coding
113524310	atp6ap2	-	ATPase H+ transporting accessory protein 2	protein-coding
113524311	LOC113524311	-	uncharacterized LOC113524311	protein-coding
113524312	LOC113524312	-	myelin and lymphocyte protein-like	protein-coding
113524313	LOC113524313	-	matrix-remodeling-associated protein 5-like	protein-coding
113524314	frmpd4	-	FERM and PDZ domain containing 4	protein-coding
113524315	tlr7	-	toll-like receptor 7	protein-coding
113524316	LOC113524316	-	toll-like receptor 8	protein-coding
113524317	LOC113524317	-	NLR family CARD domain-containing protein 3-like	protein-coding
113524318	slitrk5b	-	SLIT and NTRK-like family, member 5b	protein-coding
113524319	nlgn4xb	-	neuroligin 4 X-linked b	protein-coding
113524320	fancb	-	FA complementation group B	protein-coding
113524321	LOC113524321	sh3rf3	E3 ubiquitin-protein ligase SH3RF3	protein-coding
113524322	LOC113524322	-	zinc finger protein 850	protein-coding
113524323	LOC113524323	-	histone-lysine N-methyltransferase PRDM9	protein-coding
113524324	LOC113524324	-	histone-lysine N-methyltransferase PRDM9	protein-coding
113524325	akap17a	-	A kinase (PRKA) anchor protein 17A	protein-coding
113524326	LOC113524326	-	histone-lysine N-methyltransferase PRDM7	protein-coding
113524327	arsh	-	arylsulfatase H	protein-coding
113524328	scel	-	sciellin	protein-coding
113524329	LOC113524329	-	leucine-rich repeat flightless-interacting protein 1-like	protein-coding
113524330	egfl6	-	EGF-like-domain, multiple 6	protein-coding
113524331	LOC113524331	-	glypican-6-like	protein-coding
113524332	dct	-	dopachrome tautomerase	protein-coding
113524333	mospd2	-	motile sperm domain containing 2	protein-coding
113524334	glra2	-	glycine receptor, alpha 2	protein-coding
113524335	gpr143	-	G protein-coupled receptor 143	protein-coding
113524336	edar	-	ectodysplasin A receptor	protein-coding
113524337	LOC113524337	-	sterile alpha motif domain-containing protein 9	protein-coding
113524338	LOC113524338	-	PR domain zinc finger protein 15	protein-coding
113524339	LOC113524339	-	cAMP-dependent protein kinase catalytic subunit PRKX	protein-coding
113524340	asmt	-	acetylserotonin O-methyltransferase	protein-coding
113524341	LOC113524341	-	dehydrogenase/reductase SDR family member on chromosome X	protein-coding
113524342	LOC113524342	-	uncharacterized LOC113524342	pseudo
113524343	LOC113524343	-	zinc finger protein 239-like	protein-coding
113524344	gpm6bb	gpm6b	glycoprotein M6Bb	protein-coding
113524345	sox21b	-	SRY-box transcription factor 21b	protein-coding
113524346	pdcl3	-	phosducin-like 3	protein-coding
113524347	trappc2	-	trafficking protein particle complex subunit 2	protein-coding
113524348	LOC113524348	-	serine protease inhibitor Kazal-type 1	protein-coding
113524350	tmsb4x	-	thymosin beta 4 X-linked	protein-coding
113524351	LOC113524351	-	uncharacterized LOC113524351	protein-coding
113524353	LOC113524353	-	uncharacterized LOC113524353	ncRNA
113524355	LOC113524355	-	TBC1 domain family member 8	protein-coding
