GeneID	Symbol	Synonyms	description	type_of_gene
113534098	prpf3	-	PRP3 pre-mRNA processing factor 3 homolog (yeast)	protein-coding
113534099	LOC113534099	-	terminal nucleotidyltransferase 4A	protein-coding
113534100	LOC113534100	bivm	basic immunoglobulin-like variable motif-containing protein	protein-coding
113534101	LOC113534101	-	C-C chemokine receptor type 4-like	protein-coding
113534102	LOC113534102	-	putative nuclease HARBI1	pseudo
113534103	LOC113534103	-	mannan-binding lectin serine protease 2	protein-coding
113534104	LOC113534104	klhl28	kelch-like protein 28	protein-coding
113534105	LOC113534105	-	putative ferric-chelate reductase 1	protein-coding
113534106	LOC113534106	-	ankyrin-3-like	protein-coding
113534107	fmnl1b	-	formin-like 1b	protein-coding
113534108	pcmtd1	-	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	protein-coding
113534109	esco1	-	establishment of sister chromatid cohesion N-acetyltransferase 1	protein-coding
113534110	adamtsl4	-	ADAMTS-like 4	protein-coding
113534111	zgc:172121	-	uncharacterized LOC113534111	protein-coding
113534112	rprd2b	-	regulation of nuclear pre-mRNA domain containing 2b	protein-coding
113534113	LOC113534113	-	A disintegrin and metalloproteinase with thrombospondin motifs 16	protein-coding
113534114	irx1a	-	iroquois homeobox 1a	protein-coding
113534115	LOC113534115	-	lysophosphatidylcholine acyltransferase 1	protein-coding
113534116	LOC113534116	dcdc2	doublecortin domain-containing protein 2	protein-coding
113534117	scrt1b	-	scratch family zinc finger 1b	protein-coding
113534118	cdkal1	-	CDK5 regulatory subunit associated protein 1-like 1	protein-coding
113534119	LOC113534119	-	cytochrome P450 4B1	protein-coding
113534120	grik2	-	glutamate receptor, ionotropic, kainate 2	protein-coding
113534121	gnat2	-	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2	protein-coding
113534122	fasn2	-	fatty acid synthase 2	protein-coding
113534123	hmbox1a	-	homeobox containing 1a	protein-coding
113534124	LOC113534124	cfp	properdin	protein-coding
113534126	c1ql3a	-	complement component 1, q subcomponent-like 3a	protein-coding
113534127	LOC113534127	-	holocytochrome c-type synthase	protein-coding
113534128	si:dkey-17m8.1	-	C-Jun-amino-terminal kinase-interacting protein 4	protein-coding
113534129	sema6cb	sema6e	semaphorin 6Cb	protein-coding
113534130	scnm1	-	sodium channel modifier 1	protein-coding
113534131	LOC113534131	-	C-type lectin domain family 9 member A	protein-coding
113534132	LOC113534132	-	C-C chemokine receptor type 4	protein-coding
113534133	LOC113534133	-	C-C chemokine receptor type 5-like	protein-coding
113534134	LOC113534134	-	C-C chemokine receptor type 4	protein-coding
113534135	LOC113534135	-	C-C chemokine receptor type 4	protein-coding
113534136	si:zfos-943e10.1	-	GRAM domain-containing protein 2B	protein-coding
113534137	LOC113534137	-	C-C chemokine receptor type 4	protein-coding
113534138	LOC113534138	-	C-C chemokine receptor type 5	protein-coding
113534139	si:cabz01093077.1	-	C-C chemokine receptor type 4	protein-coding
113534140	LOC113534140	-	C-C chemokine receptor type 5-like	protein-coding
113534141	tg	-	thyroglobulin	protein-coding
113534142	ism2a	ism2	isthmin 2a	protein-coding
113534143	scxb	-	scleraxis bHLH transcription factor b	protein-coding
113534144	tapbpl	-	TAP binding protein like	protein-coding
113534145	vamp1b	zgc:92912	vesicle associated membrane protein 1b	protein-coding
113534146	uqcc4	c1h16orf91|cunh16orf91	ubiquinol-cytochrome c reductase complex assembly factor 4	protein-coding
113534147	ccka	-	cholecystokinin a	protein-coding
113534148	LOC113534148	-	cardiac phospholamban-like	protein-coding
113534149	mc2r	-	melanocortin 2 receptor	protein-coding
113534150	ccr10	-	chemokine (C-C motif) receptor 10	protein-coding
113534151	wdr24	-	WD repeat domain 24	protein-coding
113534152	zgc:112496	-	uncharacterized LOC113534152	protein-coding
113534153	cilp2	-	cartilage intermediate layer protein 2	protein-coding
113534154	mrps15	-	mitochondrial ribosomal protein S15	protein-coding
113534155	LOC113534155	-	cornifelin	protein-coding
113534156	LOC113534156	-	soluble guanylate cyclase 88E	protein-coding
113534157	ero1a	-	endoplasmic reticulum oxidoreductase 1 alpha	protein-coding
113534158	ecm1b	ecm1	extracellular matrix protein 1b	protein-coding
113534159	gpr20	-	G protein-coupled receptor 20	protein-coding
113534160	slc45a4b	-	solute carrier family 45 member 4b	protein-coding
113534161	LOC113534161	rdh13	retinol dehydrogenase 13	protein-coding
113534162	chlsn	cunh7orf50	cholesin	protein-coding
113534163	LOC113534163	-	transmembrane protein 26	protein-coding
113534164	tm9sf1	-	transmembrane 9 superfamily member 1	protein-coding
113534165	LOC113534165	-	sperm acrosome membrane-associated protein 4	protein-coding
113534166	ros1	-	c-ros oncogene 1 , receptor tyrosine kinase	protein-coding
113534167	styx	-	serine/threonine/tyrosine interacting protein	protein-coding
113534168	mef2d	-	myocyte enhancer factor 2d	protein-coding
113534169	alx3	-	ALX homeobox 3	protein-coding
113534170	LOC113534170	togaram1	TOG array regulator of axonemal microtubules protein 1	protein-coding
113534171	si:ch211-120k19.1	-	uncharacterized LOC113534171	protein-coding
113534172	hace1	-	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	protein-coding
113534173	gsc	-	goosecoid	protein-coding
113534174	cngb3.2	-	cyclic nucleotide gated channel subunit beta 3, tandem duplicate 2	protein-coding
113534175	LOC113534175	-	receptor activity-modifying protein 1	protein-coding
113534176	spata17	-	spermatogenesis associated 17	protein-coding
113534177	socs4	-	suppressor of cytokine signaling 4	protein-coding
113534178	dgat1b	-	diacylglycerol O-acyltransferase 1b	protein-coding
113534179	mdfic2	-	MyoD family inhibitor domain containing 2	protein-coding
113534180	vim	-	vimentin	protein-coding
113534181	abhd5a	abhd5	abhydrolase domain containing 5a	protein-coding
113534182	tnfrsf1a	-	tumor necrosis factor receptor superfamily, member 1a	protein-coding
113534184	LOC113534184	-	golgin subfamily A member 6-like protein 25	protein-coding
113534185	pdpk1b	-	3-phosphoinositide dependent protein kinase 1b	protein-coding
113534186	LOC113534186	-	excitatory amino acid transporter 1	protein-coding
113534187	gnptg	-	N-acetylglucosamine-1-phosphate transferase subunit gamma	protein-coding
113534188	tsr3	-	TSR3 ribosome maturation factor	protein-coding
113534189	LOC113534189	-	uncharacterized LOC113534189	ncRNA
113534190	ddx61	-	DEAD (Asp-Glu-Ala-Asp) box helicase 61	protein-coding
113534191	cnot10	-	CCR4-NOT transcription complex, subunit 10	protein-coding
113534192	LOC113534192	ect2l	epithelial cell-transforming sequence 2 oncogene-like	protein-coding
113534193	zgc:162964	-	uncharacterized LOC113534193	protein-coding
113534194	LOC113534194	-	src-like-adapter	protein-coding
113534195	bcl11ba	bcl11b	BCL11 transcription factor B a	protein-coding
113534196	LOC113534196	dnttip1	deoxynucleotidyltransferase terminal-interacting protein 1	protein-coding
113534197	ndrg1b	-	N-myc downstream regulated 1b	protein-coding
113534198	ccn4b	-	cellular communication network factor 4b	protein-coding
113534199	esrrga	-	estrogen-related receptor gamma a	protein-coding
113534200	kctd3	-	potassium channel tetramerization domain containing 3	protein-coding
113534201	grb10b	grb10	growth factor receptor-bound protein 10b	protein-coding
113534202	tmem44	-	transmembrane protein 44	protein-coding
113534203	si:ch211-266g18.6	-	synaptotagmin-like protein 2	protein-coding
113534204	abcd3a	abcd3	ATP-binding cassette, sub-family D (ALD), member 3a	protein-coding
113534205	wars1	wars	tryptophanyl-tRNA synthetase 1	protein-coding
113534206	slc25a47b	slc25a47	solute carrier family 25 member 47b	protein-coding
113534207	LOC113534207	-	uncharacterized LOC113534207	protein-coding
113534208	LOC113534208	-	uncharacterized LOC113534208	ncRNA
113534209	kcnj14	-	potassium inwardly rectifying channel subfamily J member 14	protein-coding
113534210	si:ch211-266g18.9	-	transforming growth factor-beta receptor-associated protein 1	protein-coding
113534211	uck2a	uck2	uridine-cytidine kinase 2a	protein-coding
113534212	smpdl3b	-	sphingomyelin phosphodiesterase acid like 3B	protein-coding
113534213	mecr	-	mitochondrial trans-2-enoyl-CoA reductase	protein-coding
113534215	il17a/f1	-	interleukin 17a/f1	protein-coding
113534216	pear1	-	platelet endothelial aggregation receptor 1	protein-coding
113534217	tmem30b	-	transmembrane protein 30B	protein-coding
113534218	gpr137c	-	G protein-coupled receptor 137c	protein-coding
